
2024/12/14 (20:26:35) | ===> btop++ v.1.4.0
2024/12/14 (20:26:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (13:05:25) | ===> btop++ v.1.4.0
2024/12/21 (13:05:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (12:00:35) | ===> btop++ v.1.4.0
2024/12/23 (12:00:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (16:58:41) | ===> btop++ v.1.4.0
2024/12/23 (16:58:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (16:59:14) | ===> btop++ v.1.4.0
2024/12/23 (16:59:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (13:21:25) | ===> btop++ v.1.4.0
2024/12/24 (13:21:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (13:42:10) | ===> btop++ v.1.4.0
2024/12/24 (13:42:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:06:06) | ===> btop++ v.1.4.0
2025/01/05 (21:06:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:07:14) | ===> btop++ v.1.4.0
2025/01/05 (21:07:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:11:12) | ===> btop++ v.1.4.0
2025/01/05 (21:11:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (12:30:47) | ===> btop++ v.1.4.0
2025/01/06 (12:30:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (18:01:09) | ===> btop++ v.1.4.0
2025/01/06 (18:01:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (18:06:30) | ===> btop++ v.1.4.0
2025/01/06 (18:06:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (12:57:20) | ===> btop++ v.1.4.0
2025/01/07 (12:57:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (13:33:22) | ===> btop++ v.1.4.0
2025/01/07 (13:33:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (14:25:49) | ===> btop++ v.1.4.0
2025/01/07 (14:25:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (11:43:04) | ===> btop++ v.1.4.0
2025/01/09 (11:43:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (21:43:26) | ===> btop++ v.1.4.0
2025/01/09 (21:43:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (12:21:27) | ===> btop++ v.1.4.0
2025/01/10 (12:21:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (08:58:47) | ===> btop++ v.1.4.0
2025/01/13 (08:58:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (09:44:24) | ===> btop++ v.1.4.0
2025/01/13 (09:44:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (11:38:30) | ===> btop++ v.1.4.0
2025/01/13 (11:38:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (16:25:28) | ===> btop++ v.1.4.0
2025/01/13 (16:25:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (17:29:20) | ===> btop++ v.1.4.0
2025/01/13 (17:29:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (17:11:07) | ===> btop++ v.1.4.0
2025/01/15 (17:11:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (17:53:31) | ===> btop++ v.1.4.0
2025/01/15 (17:53:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:03:53) | ===> btop++ v.1.4.0
2025/01/15 (19:03:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (19:36:29) | ===> btop++ v.1.4.0
2025/01/15 (19:36:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (21:58:03) | ===> btop++ v.1.4.0
2025/01/15 (21:58:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (10:01:52) | ===> btop++ v.1.4.0
2025/01/16 (10:01:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (10:30:37) | ===> btop++ v.1.4.0
2025/01/16 (10:30:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (12:47:03) | ===> btop++ v.1.4.0
2025/01/16 (12:47:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (17:53:28) | ===> btop++ v.1.4.0
2025/01/16 (17:53:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (15:40:21) | ===> btop++ v.1.4.0
2025/01/18 (15:40:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (12:45:01) | ===> btop++ v.1.4.0
2025/01/19 (12:45:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (16:12:05) | ===> btop++ v.1.4.0
2025/01/19 (16:12:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (21:44:51) | ===> btop++ v.1.4.0
2025/01/19 (21:44:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (10:37:13) | ===> btop++ v.1.4.0
2025/01/20 (10:37:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (12:01:53) | ===> btop++ v.1.4.0
2025/01/20 (12:01:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (12:42:17) | ===> btop++ v.1.4.0
2025/01/20 (12:42:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (12:53:18) | ===> btop++ v.1.4.0
2025/01/20 (12:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (13:06:28) | ===> btop++ v.1.4.0
2025/01/20 (13:06:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (13:11:02) | ===> btop++ v.1.4.0
2025/01/20 (13:11:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (20:31:44) | ===> btop++ v.1.4.0
2025/01/20 (20:31:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (22:28:44) | ===> btop++ v.1.4.0
2025/01/20 (22:28:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (09:26:25) | ===> btop++ v.1.4.0
2025/01/21 (09:26:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (20:36:09) | ===> btop++ v.1.4.0
2025/01/21 (20:36:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (21:15:34) | ===> btop++ v.1.4.0
2025/01/21 (21:15:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (15:29:09) | ===> btop++ v.1.4.0
2025/01/29 (15:29:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (19:39:03) | ===> btop++ v.1.4.0
2025/01/30 (19:39:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (20:45:15) | ===> btop++ v.1.4.0
2025/01/30 (20:45:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (21:25:17) | ===> btop++ v.1.4.0
2025/01/30 (21:25:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (23:18:12) | ===> btop++ v.1.4.0
2025/01/30 (23:18:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (23:41:06) | ===> btop++ v.1.4.0
2025/01/30 (23:41:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (12:56:41) | ===> btop++ v.1.4.0
2025/01/31 (12:56:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (20:51:55) | ===> btop++ v.1.4.0
2025/02/02 (20:51:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (11:37:24) | ===> btop++ v.1.4.0
2025/02/03 (11:37:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (12:26:08) | ===> btop++ v.1.4.0
2025/02/03 (12:26:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (13:28:03) | ===> btop++ v.1.4.0
2025/02/03 (13:28:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (14:17:27) | ===> btop++ v.1.4.0
2025/02/03 (14:17:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (14:58:20) | ===> btop++ v.1.4.0
2025/02/17 (14:58:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (15:02:12) | ===> btop++ v.1.4.0
2025/02/17 (15:02:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (15:03:32) | ===> btop++ v.1.4.0
2025/02/17 (15:03:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (16:34:10) | ===> btop++ v.1.4.0
2025/02/17 (16:34:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (16:57:21) | ===> btop++ v.1.4.0
2025/02/17 (16:57:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (18:16:12) | ===> btop++ v.1.4.0
2025/02/24 (18:16:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (21:18:35) | ===> btop++ v.1.4.0
2025/02/24 (21:18:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:56:38) | ===> btop++ v.1.4.0
2025/02/25 (13:56:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (14:05:37) | ===> btop++ v.1.4.0
2025/02/25 (14:05:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:14:00) | ===> btop++ v.1.4.0
2025/02/25 (15:14:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:25:29) | ===> btop++ v.1.4.0
2025/02/25 (15:25:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:35:58) | ===> btop++ v.1.4.0
2025/02/25 (16:35:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:46:05) | ===> btop++ v.1.4.0
2025/02/25 (16:46:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:59:04) | ===> btop++ v.1.4.0
2025/02/25 (16:59:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (18:53:19) | ===> btop++ v.1.4.0
2025/02/25 (18:53:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (15:16:33) | ===> btop++ v.1.4.0
2025/02/27 (15:16:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (14:25:03) | ===> btop++ v.1.4.0
2025/03/13 (14:25:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (14:36:08) | ===> btop++ v.1.4.0
2025/03/20 (14:36:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (20:27:29) | ===> btop++ v.1.4.0
2025/03/30 (20:27:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (19:37:28) | ===> btop++ v.1.4.0
2025/04/07 (19:37:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (19:41:45) | ===> btop++ v.1.4.0
2025/04/07 (19:41:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (16:50:13) | ===> btop++ v.1.4.0
2025/04/08 (16:50:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (20:16:47) | ===> btop++ v.1.4.0
2025/04/11 (20:16:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (13:54:42) | ===> btop++ v.1.4.0
2025/04/14 (13:54:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (12:22:05) | ===> btop++ v.1.4.0
2025/04/16 (12:22:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (13:39:50) | ===> btop++ v.1.4.0
2025/04/16 (13:39:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (14:35:04) | ===> btop++ v.1.4.0
2025/04/17 (14:35:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (18:14:47) | ===> btop++ v.1.4.0
2025/04/17 (18:14:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (15:13:22) | ===> btop++ v.1.4.0
2025/04/18 (15:13:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (16:16:22) | ===> btop++ v.1.4.0
2025/04/18 (16:16:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (19:37:10) | ===> btop++ v.1.4.0
2025/04/22 (19:37:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (19:31:21) | ===> btop++ v.1.4.0
2025/04/23 (19:31:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (14:56:58) | ===> btop++ v.1.4.0
2025/04/28 (14:56:58) | WARNING: Intel GPU: Failed to initialize PMU
